Parameter,Object,Object timestamp,Writable,Writable timestamp,Value,Value type,Value timestamp,Notification,Notification timestamp,Access list,Access list timestamp
DeviceID.ID,false,2026-08-08T18:51:06.893Z,false,2026-08-08T18:51:06.893Z,"000271-ZNID24xx-5a4e54530318c3f9",xsd:string,2026-08-08T18:51:06.893Z,,,,
DeviceID.Manufacturer,false,2026-08-08T18:51:06.893Z,false,2026-08-08T18:51:06.893Z,"Zhone",xsd:string,2026-08-08T18:51:06.893Z,,,,
DeviceID.OUI,false,2026-08-08T18:51:06.893Z,false,2026-08-08T18:51:06.893Z,"000271",xsd:string,2026-08-08T18:51:06.893Z,,,,
DeviceID.ProductClass,false,2026-08-08T18:51:06.893Z,false,2026-08-08T18:51:06.893Z,"ZNID24xx",xsd:string,2026-08-08T18:51:06.893Z,,,,
DeviceID.SerialNumber,false,2026-08-08T18:51:06.893Z,false,2026-08-08T18:51:06.893Z,"5a4e54530318c3f9",xsd:string,2026-08-08T18:51:06.893Z,,,,
Events.0_BOOTSTRAP,false,2026-08-08T18:51:06.893Z,false,2026-08-08T18:51:06.893Z,"2026-06-09T18:22:40.056Z",xsd:dateTime,2026-08-08T18:51:06.893Z,,,,
Events.1_BOOT,false,2026-08-08T18:51:06.893Z,false,2026-08-08T18:51:06.893Z,"2026-07-22T20:17:36.810Z",xsd:dateTime,2026-08-08T18:51:06.893Z,,,,
Events.Inform,false,2026-08-08T18:51:06.893Z,false,2026-08-08T18:51:06.893Z,"2026-08-08T18:51:06.893Z",xsd:dateTime,2026-08-08T18:51:06.893Z,,,,
Events.Registered,false,2026-08-08T18:51:06.893Z,false,2026-08-08T18:51:06.893Z,"2026-06-09T18:22:40.056Z",xsd:dateTime,2026-08-08T18:51:06.893Z,,,,
InternetGatewayDevice,true,2026-07-21T20:50:23.275Z,false,2026-07-21T20:50:23.275Z,"",,,,,,
InternetGatewayDevice.Device,true,2026-07-21T20:50:23.275Z,false,2026-07-21T20:50:23.275Z,"",,,,,,
InternetGatewayDevice.Device.Optical,true,2026-07-21T20:50:23.275Z,false,2026-07-21T20:50:23.275Z,"",,,,,,
InternetGatewayDevice.Device.Optical.Interface,true,2026-07-21T20:50:23.275Z,true,2026-07-21T20:50:23.275Z,"",,,,,,
InternetGatewayDevice.Device.Optical.Interface.1,true,2026-07-21T20:50:23.275Z,true,2026-07-21T20:50:23.275Z,"",,,,,,
InternetGatewayDevice.Device.Optical.Interface.1.Enable,false,2026-07-21T20:50:23.275Z,true,2026-07-21T20:50:23.275Z,"true",xsd:boolean,2026-07-21T20:50:23.279Z,,,,
InternetGatewayDevice.Device.Optical.Interface.1.Name,false,2026-07-21T20:50:23.275Z,false,2026-07-21T20:50:23.275Z,"Optical",xsd:string,2026-07-21T20:50:23.279Z,,,,
InternetGatewayDevice.Device.Optical.Interface.1.OpticalSignalLevel,false,2026-07-21T20:50:23.275Z,false,2026-07-21T20:50:23.275Z,"56056",xsd:int,2026-07-21T20:50:23.279Z,,,,
InternetGatewayDevice.Device.Optical.Interface.1.Stats,true,2026-07-21T20:50:23.275Z,false,2026-07-21T20:50:23.275Z,"",,,,,,
InternetGatewayDevice.Device.Optical.Interface.1.Stats.BytesReceived,false,2026-07-21T20:50:23.275Z,false,2026-07-21T20:50:23.275Z,"1974831240",xsd:unsignedLong,2026-07-21T20:50:23.279Z,,,,
InternetGatewayDevice.Device.Optical.Interface.1.Stats.BytesSent,false,2026-07-21T20:50:23.275Z,false,2026-07-21T20:50:23.275Z,"70865624",xsd:unsignedLong,2026-07-21T20:50:23.279Z,,,,
InternetGatewayDevice.Device.Optical.Interface.1.Stats.DiscardPacketsReceived,false,2026-07-21T20:50:23.275Z,false,2026-07-21T20:50:23.275Z,"0",xsd:unsignedInt,2026-07-21T20:50:23.279Z,,,,
InternetGatewayDevice.Device.Optical.Interface.1.Stats.DiscardPacketsSent,false,2026-07-21T20:50:23.275Z,false,2026-07-21T20:50:23.275Z,"0",xsd:unsignedInt,2026-07-21T20:50:23.279Z,,,,
InternetGatewayDevice.Device.Optical.Interface.1.Stats.ErrorsReceived,false,2026-07-21T20:50:23.275Z,false,2026-07-21T20:50:23.275Z,"0",xsd:unsignedInt,2026-07-21T20:50:23.279Z,,,,
InternetGatewayDevice.Device.Optical.Interface.1.Stats.ErrorsSent,false,2026-07-21T20:50:23.275Z,false,2026-07-21T20:50:23.275Z,"0",xsd:unsignedInt,2026-07-21T20:50:23.279Z,,,,
InternetGatewayDevice.Device.Optical.Interface.1.Stats.PacketsReceived,false,2026-07-21T20:50:23.275Z,false,2026-07-21T20:50:23.275Z,"1612810",xsd:unsignedLong,2026-07-21T20:50:23.279Z,,,,
