Parameter,Object,Object timestamp,Writable,Writable timestamp,Value,Value type,Value timestamp,Notification,Notification timestamp,Access list,Access list timestamp
DeviceID.ID,false,2026-08-08T18:28:27.019Z,false,2026-08-08T18:28:27.019Z,"000271-ZNID24xxA1-5a4e5453037a6b67",xsd:string,2026-08-08T18:28:27.019Z,,,,
DeviceID.Manufacturer,false,2026-08-08T18:28:27.019Z,false,2026-08-08T18:28:27.019Z,"Zhone",xsd:string,2026-08-08T18:28:27.019Z,,,,
DeviceID.OUI,false,2026-08-08T18:28:27.019Z,false,2026-08-08T18:28:27.019Z,"000271",xsd:string,2026-08-08T18:28:27.019Z,,,,
DeviceID.ProductClass,false,2026-08-08T18:28:27.019Z,false,2026-08-08T18:28:27.019Z,"ZNID24xxA1",xsd:string,2026-08-08T18:28:27.019Z,,,,
DeviceID.SerialNumber,false,2026-08-08T18:28:27.019Z,false,2026-08-08T18:28:27.019Z,"5a4e5453037a6b67",xsd:string,2026-08-08T18:28:27.019Z,,,,
Events.0_BOOTSTRAP,false,2026-08-08T18:28:27.019Z,false,2026-08-08T18:28:27.019Z,"2026-06-12T16:29:03.215Z",xsd:dateTime,2026-08-08T18:28:27.019Z,,,,
Events.1_BOOT,false,2026-08-08T18:28:27.019Z,false,2026-08-08T18:28:27.019Z,"2026-06-12T16:29:03.215Z",xsd:dateTime,2026-08-08T18:28:27.019Z,,,,
Events.Inform,false,2026-08-08T18:28:27.019Z,false,2026-08-08T18:28:27.019Z,"2026-08-08T18:28:27.019Z",xsd:dateTime,2026-08-08T18:28:27.019Z,,,,
Events.Registered,false,2026-08-08T18:28:27.019Z,false,2026-08-08T18:28:27.019Z,"2026-06-12T16:29:03.215Z",xsd:dateTime,2026-08-08T18:28:27.019Z,,,,
InternetGatewayDevice,true,2026-08-08T18:28:27.019Z,false,2026-08-08T18:28:27.019Z,"",,,,,,
InternetGatewayDevice.Capabilities,true,2026-08-08T18:28:27.019Z,false,2026-08-08T18:28:27.019Z,"",,,,,,
InternetGatewayDevice.Capabilities.PerformanceDiagnostic,true,2026-08-08T18:28:27.019Z,false,2026-08-08T18:28:27.019Z,"",,,,,,
InternetGatewayDevice.Capabilities.PerformanceDiagnostic.DownloadTransports,false,2026-08-08T18:28:27.019Z,false,2026-08-08T18:28:27.019Z,"HTTP,FTP",xsd:string,2026-08-08T18:28:27.023Z,,,,
InternetGatewayDevice.Capabilities.PerformanceDiagnostic.UploadTransports,false,2026-08-08T18:28:27.019Z,false,2026-08-08T18:28:27.019Z,"HTTP,FTP",xsd:string,2026-08-08T18:28:27.023Z,,,,
InternetGatewayDevice.DeviceConfig,true,2026-08-08T18:28:27.019Z,false,2026-08-08T18:28:27.019Z,"",,,,,,
InternetGatewayDevice.DeviceConfig.ConfigFile,false,2026-08-08T18:28:27.019Z,true,2026-08-08T18:28:27.019Z,"",xsd:string,2026-08-08T18:28:27.023Z,,,,
InternetGatewayDevice.DeviceConfig.PersistentData,false,2026-08-08T18:28:27.019Z,true,2026-08-08T18:28:27.019Z,"",xsd:string,2026-08-08T18:28:27.023Z,,,,
InternetGatewayDevice.DeviceInfo,true,2026-08-08T18:28:27.019Z,false,2026-08-08T18:28:27.019Z,"",,,,,,
InternetGatewayDevice.DeviceInfo.AdditionalHardwareVersion,false,2026-08-08T18:28:27.019Z,false,2026-08-08T18:28:27.019Z,"BoardId=ZNID24xxA1",xsd:string,2026-08-08T18:28:27.023Z,,,,
InternetGatewayDevice.DeviceInfo.AdditionalSoftwareVersion,false,2026-08-08T18:28:27.019Z,false,2026-08-08T18:28:27.019Z,"S4.1.037",xsd:string,2026-08-08T18:28:27.023Z,,,,
InternetGatewayDevice.DeviceInfo.Description,false,2026-08-08T18:28:27.019Z,false,2026-08-08T18:28:27.019Z,"Zhone Indoor Network Interface Device",xsd:string,2026-08-08T18:28:27.023Z,,,,
