Parameter,Object,Object timestamp,Writable,Writable timestamp,Value,Value type,Value timestamp,Notification,Notification timestamp,Access list,Access list timestamp
"DeviceID.ID,false,2026-07-08T16:11:50.313Z,false,2026-07-08T16:11:50.313Z,""00259E-HS8145X6-5A4E54533A4A8693"",xsd:string,2026-07-08T16:11:50.313Z,,,,"
"DeviceID.Manufacturer,false,2026-07-08T16:11:50.313Z,false,2026-07-08T16:11:50.313Z,""Huawei Technologies Co., Ltd"",xsd:string,2026-07-08T16:11:50.313Z,,,,"
"DeviceID.OUI,false,2026-07-08T16:11:50.313Z,false,2026-07-08T16:11:50.313Z,""00259E"",xsd:string,2026-07-08T16:11:50.313Z,,,,"
"DeviceID.ProductClass,false,2026-07-08T16:11:50.313Z,false,2026-07-08T16:11:50.313Z,""HS8145X6"",xsd:string,2026-07-08T16:11:50.313Z,,,,"
"DeviceID.SerialNumber,false,2026-07-08T16:11:50.313Z,false,2026-07-08T16:11:50.313Z,""5A4E54533A4A8693"",xsd:string,2026-07-08T16:11:50.313Z,,,,"
"Events.0_BOOTSTRAP,false,2026-07-08T16:11:50.313Z,false,2026-07-08T16:11:50.313Z,""2026-07-08T14:33:21.440Z"",xsd:dateTime,2026-07-08T16:11:50.313Z,,,,"
"Events.1_BOOT,false,2026-07-08T16:11:50.313Z,false,2026-07-08T16:11:50.313Z,""2026-07-08T14:33:21.440Z"",xsd:dateTime,2026-07-08T16:11:50.313Z,,,,"
"Events.Inform,false,2026-07-08T16:11:50.313Z,false,2026-07-08T16:11:50.313Z,""2026-07-08T16:11:50.313Z"",xsd:dateTime,2026-07-08T16:11:50.313Z,,,,"
"Events.Registered,false,2026-07-08T16:11:50.313Z,false,2026-07-08T16:11:50.313Z,""2026-07-08T14:33:21.440Z"",xsd:dateTime,2026-07-08T16:11:50.313Z,,,,"
"InternetGatewayDevice,true,2026-07-08T16:02:08.806Z,false,2026-07-08T16:02:08.806Z,"""",,,,,,"
"InternetGatewayDevice.Capabilities,true,2026-07-08T16:02:08.806Z,false,2026-07-08T16:02:08.806Z,"""",,,,,,"
"InternetGatewayDevice.Capabilities.PerformanceDiagnostic,true,2026-07-08T16:02:08.806Z,false,2026-07-08T16:02:08.806Z,"""",,,,,,"
"InternetGatewayDevice.Capabilities.PerformanceDiagnostic.DownloadTransports,false,2026-07-08T16:02:08.806Z,false,2026-07-08T16:02:08.806Z,""HTTP,FTP"",xsd:string,2026-07-08T16:02:08.808Z,,,,"
"InternetGatewayDevice.Capabilities.PerformanceDiagnostic.UploadTransports,false,2026-07-08T16:02:08.806Z,false,2026-07-08T16:02:08.806Z,""HTTP,FTP"",xsd:string,2026-07-08T16:02:08.808Z,,,,"
"InternetGatewayDevice.DHCPv4,true,2026-07-08T16:02:08.806Z,true,2026-07-08T16:02:08.806Z,"""",,,,,,"
"InternetGatewayDevice.DHCPv4.Client,true,2026-07-08T16:02:08.806Z,true,2026-07-08T16:02:08.806Z,"""",,,,,,"
"InternetGatewayDevice.DHCPv4.X_HW_ClientDefaultDSCP,false,2026-07-08T16:02:08.806Z,true,2026-07-08T16:02:08.806Z,""0"",xsd:unsignedInt,2026-07-08T16:02:08.808Z,,,,"
"InternetGatewayDevice.DHCPv6,true,2026-07-08T16:02:08.806Z,true,2026-07-08T16:02:08.806Z,"""",,,,,,"
"InternetGatewayDevice.DHCPv6.Client,true,2026-07-08T16:02:08.806Z,true,2026-07-08T16:02:08.806Z,"""",,,,,,"
"InternetGatewayDevice.DHCPv6.X_HW_ClientDefaultDSCP,false,2026-07-08T16:02:08.806Z,true,2026-07-08T16:02:08.806Z,""0"",xsd:unsignedInt,2026-07-08T16:02:08.808Z,,,,"
"InternetGatewayDevice.DNS,true,2026-07-08T16:02:08.806Z,true,2026-07-08T16:02:08.806Z,"""",,,,,,"
"InternetGatewayDevice.DNS.Diagnostics,true,2026-07-08T16:02:08.806Z,true,2026-07-08T16:02:08.806Z,"""",,,,,,"
"InternetGatewayDevice.DNS.Diagnostics.NSLookupDiagnostics,true,2026-07-08T16:02:08.806Z,true,2026-07-08T16:02:08.806Z,"""",,,,,,"
"InternetGatewayDevice.DNS.Diagnostics.NSLookupDiagnostics.DNSServer,false,2026-07-08T16:02:08.806Z,true,2026-07-08T16:02:08.806Z,"""",xsd:string,2026-07-08T16:02:08.808Z,,,,"
"InternetGatewayDevice.DNS.Diagnostics.NSLookupDiagnostics.DiagnosticsState,false,2026-07-08T16:02:08.806Z,true,2026-07-08T16:02:08.806Z,""None"",xsd:string,2026-07-08T16:02:08.808Z,,,,"
"InternetGatewayDevice.DNS.Diagnostics.NSLookupDiagnostics.HostName,false,2026-07-08T16:02:08.806Z,true,2026-07-08T16:02:08.806Z,"""",xsd:string,2026-07-08T16:02:08.808Z,,,,"
"InternetGatewayDevice.DNS.Diagnostics.NSLookupDiagnostics.Interface,false,2026-07-08T16:02:08.806Z,true,2026-07-08T16:02:08.806Z,"""",xsd:string,2026-07-08T16:02:08.808Z,,,,"
"InternetGatewayDevice.DNS.Diagnostics.NSLookupDiagnostics.NumberOfRepetitions,false,2026-07-08T16:02:08.806Z,true,2026-07-08T16:02:08.806Z,""5"",xsd:unsignedInt,2026-07-08T16:02:08.808Z,,,,"
"InternetGatewayDevice.DNS.Diagnostics.NSLookupDiagnostics.Result,true,2026-07-08T16:02:08.806Z,true,2026-07-08T16:02:08.806Z,"""",,,,,,"
"InternetGatewayDevice.DNS.Diagnostics.NSLookupDiagnostics.ResultNumberOfEntries,false,2026-07-08T16:02:08.806Z,false,2026-07-08T16:02:08.806Z,""0"",xsd:unsignedInt,2026-07-08T16:02:08.808Z,,,,"
"InternetGatewayDevice.DNS.Diagnostics.NSLookupDiagnostics.SuccessCount,false,2026-07-08T16:02:08.806Z,false,2026-07-08T16:02:08.806Z,""0"",xsd:unsignedInt,2026-07-08T16:02:08.808Z,,,,"
"InternetGatewayDevice.DNS.Diagnostics.NSLookupDiagnostics.Timeout,false,2026-07-08T16:02:08.806Z,true,2026-07-08T16:02:08.806Z,""5000"",xsd:unsignedInt,2026-07-08T16:02:08.808Z,,,,"
"InternetGatewayDevice.DeviceConfig,true,2026-07-08T16:02:08.806Z,false,2026-07-08T16:02:08.806Z,"""",,,,,,"
"InternetGatewayDevice.DeviceConfig.ConfigFile,false,2026-07-08T16:02:08.806Z,true,2026-07-08T16:02:08.806Z,""FILE OVER SIZE"",xsd:string,2026-07-08T16:02:08.808Z,,,,"
"InternetGatewayDevice.DeviceConfig.PersistentData,false,2026-07-08T16:02:08.806Z,true,2026-07-08T16:02:08.806Z,""CURRENT CONFIG"",xsd:string,2026-07-08T16:02:08.808Z,,,,"
"InternetGatewayDevice.DeviceConfig.X_HW_ConfigEncryptionKey,false,2026-07-08T16:02:08.806Z,true,2026-07-08T16:02:08.806Z,"""",xsd:string,2026-07-08T16:02:08.808Z,,,,"
"InternetGatewayDevice.DeviceInfo,true,2026-07-08T16:02:08.806Z,true,2026-07-08T16:02:08.806Z,"""",,,,,,"
"InternetGatewayDevice.DeviceInfo.AccessType,false,2026-07-08T16:02:08.806Z,false,2026-07-08T16:02:08.806Z,""Gpon"",xsd:string,2026-07-08T16:02:08.808Z,,,,"
"InternetGatewayDevice.DeviceInfo.AdditionalHardwareVersion,false,2026-07-08T16:02:08.806Z,false,2026-07-08T16:02:08.806Z,"""",xsd:string,2026-07-08T16:02:08.808Z,,,,"
"InternetGatewayDevice.DeviceInfo.AdditionalSoftwareVersion,false,2026-07-08T16:02:08.806Z,false,2026-07-08T16:02:08.806Z,""2020.01"",xsd:string,2026-07-08T16:02:08.808Z,,,,"
"InternetGatewayDevice.DeviceInfo.Description,false,2026-07-08T16:02:08.806Z,false,2026-07-08T16:02:08.806Z,""OptiXstar HS8145X6 GPON Terminal (CLASS B+/PRODUCT ID:2150082025DSL0341690)"",xsd:string,2026-07-08T16:02:08.808Z,,,,"
"InternetGatewayDevice.DeviceInfo.DeviceLog,false,2026-07-08T16:02:08.806Z,false,2026-07-08T16:02:08.806Z,""2025-07-23 14:16:35 [Critical] Time synchronized successfully, uptime:[26s], src:[1], app:[OMCI_PRO_Proces], pid:[1644]"
2025-07-23 13:48:41 [Critical] Time synchronized successfully, uptime:[104s], src:[1], app:[OMCI_PRO_Proces], pid:[1644]
2025-07-21 16:17:43 [Critical] Time synchronized successfully, uptime:[37s], src:[1], app:[OMCI_PRO_Proces], pid:[1645]
2025-07-18 18:18:39 [Critical] Time synchronized successfully, uptime:[73s], src:[1], app:[OMCI_PRO_Proces], pid:[1647]
",xsd:string,2026-07-08T16:02:08.808Z,,,,
InternetGatewayDevice.DeviceInfo.DeviceType,false,2026-07-08T16:02:08.806Z,false,2026-07-08T16:02:08.806Z,COMMON 4+1 AP"",xsd:string,2026-07-08T16:02:08.808Z,,,,"
"InternetGatewayDevice.DeviceInfo.EfuseInfo,true,2026-07-08T16:02:08.806Z,false,2026-07-08T16:02:08.806Z,"""",,,,,,"
"InternetGatewayDevice.DeviceInfo.EfuseInfo.State,false,2026-07-08T16:02:08.806Z,false,2026-07-08T16:02:08.806Z,""3"",xsd:unsignedInt,2026-07-08T16:02:08.808Z,,,,"
"InternetGatewayDevice.DeviceInfo.EnabledOptions,false,2026-07-08T16:02:08.806Z,false,2026-07-08T16:02:08.806Z,"""",xsd:string,2026-07-08T16:02:08.808Z,,,,"
"InternetGatewayDevice.DeviceInfo.FirstUseDate,false,2026-07-08T16:02:08.806Z,false,2026-07-08T16:02:08.806Z,""0001-01-01T00:00:00.000Z"",xsd:dateTime,2026-07-08T16:02:08.808Z,,,,"
"InternetGatewayDevice.DeviceInfo.FlashStatus,true,2026-07-08T16:02:08.806Z,false,2026-07-08T16:02:08.806Z,"""",,,,,,"
"InternetGatewayDevice.DeviceInfo.FlashStatus.Free,false,2026-07-08T16:02:08.806Z,false,2026-07-08T16:02:08.806Z,""81164"",xsd:unsignedInt,2026-07-08T16:02:08.808Z,,,,"
"InternetGatewayDevice.DeviceInfo.FlashStatus.Total,false,2026-07-08T16:02:08.806Z,false,2026-07-08T16:02:08.806Z,""262144"",xsd:unsignedInt,2026-07-08T16:02:08.808Z,,,,"
"InternetGatewayDevice.DeviceInfo.HardwareVersion,false,2026-07-08T16:02:08.806Z,false,2026-07-08T16:02:08.806Z,""210D.A"",xsd:string,2026-07-08T16:11:50.314Z,,,,"
"InternetGatewayDevice.DeviceInfo.ManufactureInfo,false,2026-07-08T16:02:08.806Z,false,2026-07-08T16:02:08.806Z,""2150082025DSL0341690.C402"",xsd:string,2026-07-08T16:02:08.808Z,,,,"
"InternetGatewayDevice.DeviceInfo.Manufacturer,false,2026-07-08T16:02:08.806Z,false,2026-07-08T16:02:08.806Z,""Huawei Technologies Co., Ltd"",xsd:string,2026-07-08T16:02:08.808Z,,,,"
"InternetGatewayDevice.DeviceInfo.ManufacturerOUI,false,2026-07-08T16:02:08.806Z,false,2026-07-08T16:02:08.806Z,""00259E"",xsd:string,2026-07-08T16:02:08.808Z,,,,"
"InternetGatewayDevice.DeviceInfo.MemoryStatus,true,2026-07-08T16:02:08.806Z,false,2026-07-08T16:02:08.806Z,"""",,,,,,"
"InternetGatewayDevice.DeviceInfo.MemoryStatus.Free,false,2026-07-08T16:02:08.806Z,false,2026-07-08T16:02:08.806Z,""342280"",xsd:unsignedInt,2026-07-08T16:02:08.808Z,,,,"
"InternetGatewayDevice.DeviceInfo.MemoryStatus.Total,false,2026-07-08T16:02:08.806Z,false,2026-07-08T16:02:08.806Z,""524288"",xsd:unsignedInt,2026-07-08T16:02:08.808Z,,,,"
"InternetGatewayDevice.DeviceInfo.ModelName,false,2026-07-08T16:02:08.806Z,false,2026-07-08T16:02:08.806Z,""HS8145X6"",xsd:string,2026-07-08T16:02:08.808Z,,,,"
"InternetGatewayDevice.DeviceInfo.ModelNumber,false,2026-07-08T16:02:08.806Z,false,2026-07-08T16:02:08.806Z,"""",xsd:string,2026-07-08T16:02:08.808Z,,,,"
"InternetGatewayDevice.DeviceInfo.ModemFirmwareVersion,false,2026-07-08T16:02:08.806Z,false,2026-07-08T16:02:08.806Z,""5.21.0.50"",xsd:string,2026-07-08T16:02:08.808Z,,,,"
"InternetGatewayDevice.DeviceInfo.ProcessStatus,true,2026-07-08T16:02:08.806Z,false,2026-07-08T16:02:08.806Z,"""",,,,,,"
"InternetGatewayDevice.DeviceInfo.ProcessStatus.CPUUsage,false,2026-07-08T16:02:08.806Z,false,2026-07-08T16:02:08.806Z,""16"",xsd:unsignedInt,2026-07-08T16:02:08.808Z,,,,"
"InternetGatewayDevice.DeviceInfo.ProcessStatus.Process,true,2026-07-08T16:02:08.806Z,false,2026-07-08T16:02:08.806Z,"""",,,,,,"
"InternetGatewayDevice.DeviceInfo.ProcessStatus.Process.1,true,2026-07-08T16:02:08.806Z,false,2026-07-08T16:02:08.806Z,"""",,,,,,"
"InternetGatewayDevice.DeviceInfo.ProcessStatus.Process.1.CPUTime,false,2026-07-08T16:02:08.806Z,false,2026-07-08T16:02:08.806Z,""5510"",xsd:unsignedInt,2026-07-08T16:02:08.808Z,,,,"
"InternetGatewayDevice.DeviceInfo.ProcessStatus.Process.1.Command,false,2026-07-08T16:02:08.806Z,false,2026-07-08T16:02:08.806Z,""ssmp"",xsd:string,2026-07-08T16:02:08.808Z,,,,"
"InternetGatewayDevice.DeviceInfo.ProcessStatus.Process.1.PID,false,2026-07-08T16:02:08.806Z,false,2026-07-08T16:02:08.806Z,""1622"",xsd:unsignedInt,2026-07-08T16:02:08.808Z,,,,"
"InternetGatewayDevice.DeviceInfo.ProcessStatus.Process.1.Priority,false,2026-07-08T16:02:08.806Z,false,2026-07-08T16:02:08.806Z,""120"",xsd:unsignedInt,2026-07-08T16:02:08.808Z,,,,"
"InternetGatewayDevice.DeviceInfo.ProcessStatus.Process.1.Size,false,2026-07-08T16:02:08.806Z,false,2026-07-08T16:02:08.806Z,""9652"",xsd:unsignedInt,2026-07-08T16:02:08.808Z,,,,"
"InternetGatewayDevice.DeviceInfo.ProcessStatus.Process.1.State,false,2026-07-08T16:02:08.806Z,false,2026-07-08T16:02:08.806Z,""Sleeping"",xsd:string,2026-07-08T16:02:08.808Z,,,,"
"InternetGatewayDevice.DeviceInfo.ProcessStatus.Process.10,true,2026-07-08T16:02:08.806Z,false,2026-07-08T16:02:08.806Z,"""",,,,,,"
"InternetGatewayDevice.DeviceInfo.ProcessStatus.Process.10.CPUTime,false,2026-07-08T16:02:08.806Z,false,2026-07-08T16:02:08.806Z,""20"",xsd:unsignedInt,2026-07-08T16:02:08.808Z,,,,"
"InternetGatewayDevice.DeviceInfo.ProcessStatus.Process.10.Command,false,2026-07-08T16:02:08.806Z,false,2026-07-08T16:02:08.806Z,""ldspcli"",xsd:string,2026-07-08T16:02:08.808Z,,,,"
"InternetGatewayDevice.DeviceInfo.ProcessStatus.Process.10.PID,false,2026-07-08T16:02:08.806Z,false,2026-07-08T16:02:08.806Z,""2316"",xsd:unsignedInt,2026-07-08T16:02:08.808Z,,,,"
"InternetGatewayDevice.DeviceInfo.ProcessStatus.Process.10.Priority,false,2026-07-08T16:02:08.806Z,false,2026-07-08T16:02:08.806Z,""120"",xsd:unsignedInt,2026-07-08T16:02:08.808Z,,,,"
"InternetGatewayDevice.DeviceInfo.ProcessStatus.Process.10.Size,false,2026-07-08T16:02:08.806Z,false,2026-07-08T16:02:08.806Z,""1288"",xsd:unsignedInt,2026-07-08T16:02:08.808Z,,,,"
"InternetGatewayDevice.DeviceInfo.ProcessStatus.Process.10.State,false,2026-07-08T16:02:08.806Z,false,2026-07-08T16:02:08.806Z,""Sleeping"",xsd:string,2026-07-08T16:02:08.808Z,,,,"
"InternetGatewayDevice.DeviceInfo.ProcessStatus.Process.11,true,2026-07-08T16:02:08.806Z,false,2026-07-08T16:02:08.806Z,"""",,,,,,"
"InternetGatewayDevice.DeviceInfo.ProcessStatus.Process.11.CPUTime,false,2026-07-08T16:02:08.806Z,false,2026-07-08T16:02:08.806Z,""30"",xsd:unsignedInt,2026-07-08T16:02:08.808Z,,,,"
